"A Princesa e o Sapo",3,2009-12-08
"Cidade de Deus",4,2002-08-30
"Círculo de Fogo",3,2013-07-11
"Como Treinar o Seu Dragão",3,2010-03-18
"A Saga Crepúsculo: Amanhecer - Parte 2",3,2012-11-13
"Rambo: Até o Fim",3,2019-09-19
"Jujutsu Kaisen 0: O Filme",4,2021-12-24
"Ursinho Pooh: Sangue e Mel 2",3,2024-03-26
"Garfield - O Filme",2,2004-06-10
"我為卿狂",2,1991-11-15
"Batman vs Superman: A Origem da Justiça",3,2016-03-23
"Gladiador",4,2000-05-04
"Clube da Luta",4,1999-10-15
"Rivais",3,2024-04-18
"A Morte do Demônio: A Ascensão",3,2023-04-12
"mãe!",3,2017-09-13
"Malévola: Dona do Mal",3,2019-10-16
"Garota Exemplar",3,2014-10-01
"Throuple",1,2024-09-06
"A Guerra do Amanhã",3,2021-09-03
"xXx: Reativado",3,2017-01-13
"Como Treinar o seu Dragão 2",3,2014-06-05
"El Halcón: Sed de Venganza",4,2023-10-25
"Através da Minha Janela 3: Olhos nos Olhos",3,2024-02-23
"Assassinato no Expresso do Oriente",3,2017-11-03
"O Protetor",3,2014-09-24
"Ilha do Medo",4,2010-02-14
"Castigos da Traição",3,2023-08-24
"Através da Minha Janela 3: Olhos nos Olhos",3,2024-02-23
"Homem-Aranha 3",3,2007-05-01
"Histórias Cruzadas",4,2011-08-09
"Mistério no Ártico",3,2023-10-06
"Planeta dos Macacos: A Guerra",3,2017-07-11
"Mulher-Maravilha",3,2017-05-30
"Katt Williams: Woke Foke",2,2024-05-04
"One Piece: Red",3,2022-08-06
"Jurassic World: Reino Ameaçado",3,2018-06-06
"Space Jam: Um Novo Legado",3,2021-07-08
"Velozes & Furiosos 8",3,2017-04-12
"Pânico na Floresta 5",2,2012-10-23
"Ursinho Pooh: Sangue e Mel 2",3,2024-03-26
"As Tartarugas Ninja: Caos Mutante",3,2023-07-31
"Kelas Bintang - Salome",5,2023-05-13
"A Freira",2,2018-09-05
"Bastardos Inglórios",4,2009-08-02
"Dungeons & Dragons: Honra Entre Rebeldes",3,2023-03-23
"The Five",3,2023-01-07
"A Pequena Sereia",3,1989-11-17
"La Riffa",3,1991-11-15
"Herói por Encomenda",3,2023-10-05
"O Rei Leão II: O Reino de Simba",3,1998-10-24
"La nouvelle femme",3,2023-11-05
"Jogos Vorazes: A Esperança - O Final",3,2015-11-18
"A Saga Crepúsculo: Lua Nova",2,2009-11-18
"Lift: Roubo nas Alturas",3,2024-01-10
"Free Guy: Assumindo o Controle",3,2021-08-11
"O Menino do Pijama Listrado",3,2008-05-07
"Projeto X: Uma Festa Fora de Controle",3,2012-03-01
"Amor a Toda Prova",3,2011-07-29
"A Bela e a Fera",3,1991-10-22
"Pânico na Floresta 3",2,2009-10-20
"O Hobbit: A Desolação de Smaug",3,2013-12-11
"A Garota de Miller",3,2024-01-18
"I viaggiatori",3,2022-11-21
"A Múmia",3,1999-04-16
"O Preço do Amanhã",3,2011-10-27
"Dragon Ball: Uma Aventura Mística",3,1988-07-09
"Ilha do Medo",4,2010-02-14
"Argylle: O Superespião",3,2024-01-31
"A Grande Fuga",3,2023-10-06
"Scarface",4,1983-12-09
"La invención de la carne",2,2009-01-01
"O Castelo Animado",4,2004-09-09
"Vermelho, Branco e Sangue Azul",4,2023-07-27
"Destinos à Deriva",3,2023-09-29
"동창회의 목적",2,2015-08-06
"(500) Dias com Ela",3,2009-07-17
"Detona Ralph",3,2012-11-01
"Triple Oh!",1,2023-10-05
"A Família do Futuro",3,2007-03-23
"Constantine",3,2005-02-08
"Busca Implacável",3,2008-02-18
"Pânico VI",3,2023-03-08
"Belle épine",2,2010-11-10
"Edward Mãos de Tesoura",3,1990-12-07
"O Gângster, o Policial e o Diabo",3,2019-05-15
"Cinderela",3,1950-02-22
"Pilotos de Combate",2,2024-01-24
"2001: Uma Odisséia no Espaço",4,1968-04-02
"Demon Slayer: Kimetsu no Yaiba - Castelo Infinito",1,0000-00-00
"Whiplash: Em Busca da Perfeição",4,2014-10-10
"A Proposta",3,2009-06-02
"A Garota de Miller",3,2024-01-18
"Jack: O Caçador de Gigantes",2,2013-02-27
"Torturada Pelo Próprio Pai",3,2021-02-27
"Pânico VI",3,2023-03-08
"O Exorcista do Papa",3,2023-04-05
"Vermelho, Branco e Sangue Azul",4,2023-07-27
"X-Men: Apocalipse",3,2016-05-18
"Aquaman",3,2018-12-07
"Godzilla II: Rei dos Monstros",3,2019-05-29
"Os Bad Boys",3,1995-04-07
"Ghostbusters: Mais Além",3,2021-11-18
"A Criada",4,2016-06-01
"Belle épine",2,2010-11-10
"Magnum 578",2,2022-05-20
"源生罪",1,2024-01-18
"A Bruxa dos Mortos: Baghead",3,2023-12-28
"De Volta para o Futuro",4,1985-07-03
"과외의 목적",2,2023-12-07
"X: A Marca da Morte",3,2022-03-17
"కల్కి 2898-ఎ.డి",3,2024-06-26
"A Bruxa - Parte 2: A Colisão",3,2022-06-15
"Herói por Encomenda",3,2023-10-05
"A Chave",3,1983-10-19
"O Primeiro Amor",4,2010-08-06
"Resistência",3,2023-09-27
"Carros 3",3,2017-06-15
